Altium Designer Pick and Place Locations
E:\10_Altium\uz_a_iepe\Project Outputs for uz_d_iepe\Pick Place\PickPlace_uz_d_iepe_1v01.txt

========================================================================================================================
File Design Information:

Date:       02.12.21
Time:       08:29
Revision:   6da4c608714c1e53123c71d40cdc276b3752353a
Variant:    No variations
Units used: mm

Designator Footprint                Center-X(mm) Center-Y(mm) Ref-X(mm) Ref-Y(mm) Pad-X(mm) Pad-Y(mm) Rotation Comment    
U15        DGN0008D_N               13.5590      46.1330      13.5590   46.1330   15.6590   45.1580   180      #NAME?     
U3         DGN0008D_N               53.9590      11.9010      53.9590   11.9010   56.0590   10.9260   180      #NAME?     
U2         DGN0008D_N               53.8600      18.5770      53.8600   18.5770   55.9600   17.6020   180      #NAME?     
U4D        TSSOP50P510X110_HS-17N   71.8500      79.8810      71.8500   79.8810   74.2250   78.1310   180      #NAME?     
U4C        TSSOP50P510X110_HS-17N   71.8500      64.4810      71.8500   64.4810   74.2250   62.7310   180      #NAME?     
U4B        TSSOP50P510X110_HS-17N   71.8500      49.0810      71.8500   49.0810   74.2250   47.3310   180      #NAME?     
U4A        TSSOP50P510X110_HS-17N   71.8500      33.6810      71.8500   33.6810   74.2250   31.9310   180      #NAME?     
U8         SOP65P640X120-24N        41.8590      48.5060      41.8590   48.5060   38.9210   52.0810   360      #NAME?     
U1         FP-PW0008A-MFG           48.5250      72.3064      48.5250   72.3064   45.6250   73.2814   360      #NAME?     
TP33       TP_1mm                   30.5499      39.6872      30.5499   39.6872   30.5499   39.6872   90       #NAME?     
TP32       TP_1mm                   74.3024      14.2778      74.3024   14.2778   74.3024   14.2778   90       #NAME?     
TP31       TP_1mm                   78.5922      17.7957      78.5922   17.7957   78.5922   17.7957   90       #NAME?     
TP30       TP_1mm                   33.1000      8.1000       33.1000   8.1000    33.1000   8.1000    90       #NAME?     
TP27       TP_1mm                   42.5590      31.5814      42.5590   31.5814   42.5590   31.5814   90       #NAME?     
TP25       TP_1mm                   9.9676       35.0300      9.9676    35.0300   9.9676    35.0300   90       #NAME?     
TP22       TP_1mm                   33.2300      101.4634     33.2300   101.4634  33.2300   101.4634  90       #NAME?     
TP21       TP_1mm                   22.6000      75.1064      22.6000   75.1064   22.6000   75.1064   90       #NAME?     
TP17       TP_1mm                   7.2994       99.6113      7.2994    99.6113   7.2994    99.6113   90       #NAME?     
TP16       TP_1mm                   47.8240      79.6000      47.8240   79.6000   47.8240   79.6000   90       #NAME?     
TP14D      TP_1mm                   76.8590      82.9064      76.8590   82.9064   76.8590   82.9064   90       #NAME?     
TP14C      TP_1mm                   76.8590      67.5064      76.8590   67.5064   76.8590   67.5064   90       #NAME?     
TP14B      TP_1mm                   76.8590      51.7295      76.8590   51.7295   76.8590   51.7295   90       #NAME?     
TP14A      TP_1mm                   76.8590      36.7064      76.8590   36.7064   76.8590   36.7064   90       #NAME?     
TP13D      TP_1mm                   76.8590      80.6693      76.8590   80.6693   76.8590   80.6693   90       #NAME?     
TP13C      TP_1mm                   76.8590      65.2693      76.8590   65.2693   76.8590   65.2693   90       #NAME?     
TP13B      TP_1mm                   76.8590      49.8693      76.8590   49.8693   76.8590   49.8693   90       #NAME?     
TP13A      TP_1mm                   76.8590      34.4693      76.8590   34.4693   76.8590   34.4693   90       #NAME?     
TP9        TP_1mm                   56.0117      79.1314      56.0117   79.1314   56.0117   79.1314   90       #NAME?     
TP8        TP_1mm                   64.9490      94.7564      64.9490   94.7564   64.9490   94.7564   90       #NAME?     
TP7        TP_1mm                   64.9087      102.1128     64.9087   102.1128  64.9087   102.1128  90       #NAME?     
TP6        TP_1mm                   -0.1410      42.8814      -0.1410   42.8814   -0.1410   42.8814   90       #NAME?     
TP5        TP_1mm                   -0.1410      45.3064      -0.1410   45.3064   -0.1410   45.3064   90       #NAME?     
TP4        TP_1mm                   -0.1410      54.3064      -0.1410   54.3064   -0.1410   54.3064   90       #NAME?     
TP3        TP_1mm                   -0.1410      51.7064      -0.1410   51.7064   -0.1410   51.7064   90       #NAME?     
